epic,name,index_name,source_url
TEM,Templeton Emerging Markets Investment Trust,FTSE 250,https://en.wikipedia.org/wiki/FTSE_250_Index
TRIG,The Renewables Infrastructure Group,FTSE 250,https://en.wikipedia.org/wiki/FTSE_250_Index
THG,THG,FTSE 250,https://en.wikipedia.org/wiki/FTSE_250_Index
TCAP,TP ICAP,FTSE 250,https://en.wikipedia.org/wiki/FTSE_250_Index
TRN,Trainline,FTSE 250,https://en.wikipedia.org/wiki/FTSE_250_Index
TPK,Travis Perkins,FTSE 250,https://en.wikipedia.org/wiki/FTSE_250_Index
TRY,TR Property Investment Trust,FTSE 250,https://en.wikipedia.org/wiki/FTSE_250_Index
TRST,Trustpilot,FTSE 250,https://en.wikipedia.org/wiki/FTSE_250_Index
TFIF,Twentyfour Income Fund,FTSE 250,https://en.wikipedia.org/wiki/FTSE_250_Index
UTG,Unite Group,FTSE 250,https://en.wikipedia.org/wiki/FTSE_250_Index
UEM,Utilico Emerging Markets,FTSE 250,https://en.wikipedia.org/wiki/FTSE_250_Index
VSVS,Vesuvius,FTSE 250,https://en.wikipedia.org/wiki/FTSE_250_Index
VCT,Victrex,FTSE 250,https://en.wikipedia.org/wiki/FTSE_250_Index
VEIL,Vietnam Enterprise Investments,FTSE 250,https://en.wikipedia.org/wiki/FTSE_250_Index
VOF,VinaCapital Vietnam Opportunity Fund,FTSE 250,https://en.wikipedia.org/wiki/FTSE_250_Index
VTY,Vistry Group,FTSE 250,https://en.wikipedia.org/wiki/FTSE_250_Index
FAN,Volution Group,FTSE 250,https://en.wikipedia.org/wiki/FTSE_250_Index
WOSG,Watches of Switzerland,FTSE 250,https://en.wikipedia.org/wiki/FTSE_250_Index
JDW,Wetherspoons,FTSE 250,https://en.wikipedia.org/wiki/FTSE_250_Index
SMWH,WHSmith,FTSE 250,https://en.wikipedia.org/wiki/FTSE_250_Index
WIX,Wickes,FTSE 250,https://en.wikipedia.org/wiki/FTSE_250_Index
WIZZ,Wizz Air,FTSE 250,https://en.wikipedia.org/wiki/FTSE_250_Index
WKP,Workspace Group,FTSE 250,https://en.wikipedia.org/wiki/FTSE_250_Index
WWH,Worldwide Healthcare Trust,FTSE 250,https://en.wikipedia.org/wiki/FTSE_250_Index
WPP,WPP,FTSE 250,https://en.wikipedia.org/wiki/FTSE_250_Index
XPS,XPS Pensions,FTSE 250,https://en.wikipedia.org/wiki/FTSE_250_Index
ZIG,Zigup,FTSE 250,https://en.wikipedia.org/wiki/FTSE_250_Index
